2013 Congressional Districts,Zip Code,Zip Code Name,Zip Code Type,Zip Code Area Name,Percent of Population,Single Location Zip Code
01,96040,Hat Creek,Non Unique,Hat Creek,100.0,
01,96041,Hayfork,Non Unique,Hayfork,0.0,
01,96044,Hornbrook,Non Unique,Hornbrook,100.0,
01,96047,Igo,Non Unique,Igo,100.0,
01,96049,Redding,Po Box,Redding,,*
01,96050,Klamath River,Non Unique,Klamath River,100.0,
01,96051,Lakehead,Non Unique,Lakehead,100.0,
01,96052,Lewiston,Non Unique,Lewiston,0.0,
01,96054,Lookout,Po Box,Lookout,100.0,
01,96055,Los Molinos,Non Unique,Los Molinos,100.0,
01,96056,Mcarthur,Non Unique,Mcarthur,100.0,
01,96057,Mccloud,Non Unique,Mccloud,100.0,
01,96058,Macdoel,Non Unique,Macdoel,100.0,
01,96059,Manton,Non Unique,Manton,100.0,
01,96061,Mill Creek,Non Unique,Mill Creek,100.0,
01,96062,Millville,Non Unique,Millville,100.0,
01,96063,Mineral,Po Box,Mineral,100.0,
01,96064,Montague,Non Unique,Montague,100.0,
01,96065,Montgomery Creek,Non Unique,Montgomery Creek,100.0,
01,96067,Mount Shasta,Non Unique,Mount Shasta,100.0,
01,96068,Nubieber,Po Box,Nubieber,,
01,96069,Oak Run,Non Unique,Oak Run,100.0,
01,96070,Obrien,Po Box,Obrien,,*
01,96071,Old Station,Non Unique,Old Station,100.0,
01,96073,Palo Cedro,Non Unique,Palo Cedro,100.0,
01,96074,Paskenta,Po Box,Paskenta,,*
01,96075,Paynes Creek,Non Unique,Paynes Creek,100.0,
01,96076,Platina,Non Unique,Platina,80.6,
01,96078,Proberta,Po Box,Proberta,100.0,
01,96079,Shasta Lake,Po Box,Shasta Lake,,*
01,96080,Red Bluff,Non Unique,Red Bluff,100.0,
01,96084,Round Mountain,Po Box,Round Mountain,100.0,
01,96085,Scott Bar,Non Unique,Scott Bar,100.0,
01,96086,Seiad Valley,Non Unique,Seiad Valley,100.0,
01,96087,Shasta,Po Box,Shasta,100.0,
01,96088,Shingletown,Non Unique,Shingletown,100.0,
01,96089,Shasta Lake,Po Box,Shasta Lake,100.0,
01,96090,Tehama,Po Box,Tehama,100.0,
01,96091,Trinity Center,Non Unique,Trinity Center,0.0,
01,96092,Vina,Po Box,Vina,100.0,
01,96094,Weed,Non Unique,Weed,100.0,
01,96095,Whiskeytown,Po Box,Whiskeytown,100.0,
01,96096,Whitmore,Non Unique,Whitmore,100.0,
01,96097,Yreka,Non Unique,Yreka,100.0,
01,96099,Redding,Po Box,Redding,,*
01,96101,Alturas,Non Unique,Alturas,100.0,
01,96103,Blairsden-Graeagle,Non Unique,Blairsden-Graeagle,100.0,
01,96104,Cedarville,Non Unique,Cedarville,100.0,
01,96105,Chilcoot,Non Unique,Chilcoot,100.0,
01,96106,Clio,Po Box,Clio,100.0,
01,96108,Davis Creek,Non Unique,Davis Creek,100.0,
01,96109,Doyle,Non Unique,Doyle,100.0,
01,96111,Floriston,Po Box,Floriston,100.0,
01,96112,Fort Bidwell,Non Unique,Fort Bidwell,100.0,
01,96113,Herlong,Po Box,Herlong,100.0,
01,96114,Janesville,Non Unique,Janesville,100.0,
01,96115,Lake City,Non Unique,Lake City,100.0,
01,96116,Likely,Po Box,Likely,100.0,
01,96117,Litchfield,Non Unique,Litchfield,100.0,
01,96118,Loyalton,Non Unique,Loyalton,100.0,
01,96119,Madeline,Po Box,Madeline,100.0,
01,96121,Milford,Non Unique,Milford,100.0,
01,96122,Portola,Non Unique,Portola,100.0,
01,96123,Ravendale,Non Unique,Ravendale,100.0,
01,96124,Calpine,Non Unique,Calpine,100.0,
01,96125,Sierra City,Non Unique,Sierra City,100.0,
01,96126,Sierraville,Non Unique,Sierraville,100.0,
01,96127,Susanville,Po Box,Susanville,,*
01,96128,Standish,Non Unique,Standish,100.0,
01,96129,Beckwourth,Non Unique,Beckwourth,,*
01,96130,Susanville,Non Unique,Susanville,100.0,
01,96132,Termo,Non Unique,Termo,100.0,
01,96134,Tulelake,Non Unique,Tulelake,100.0,
01,96135,Vinton,Po Box,Vinton,100.0,
01,96136,Wendel,Non Unique,Wendel,100.0,
01,96137,Westwood,Non Unique,Westwood,100.0,
01,96161,Truckee,Non Unique,Truckee,1.3,
02,94515,Calistoga,Non Unique,Calistoga,8.4,
02,94901,San Rafael,Non Unique,San Rafael,100.0,
02,94903,San Rafael,Non Unique,San Rafael,100.0,
02,94904,Greenbrae,Non Unique,Greenbrae,100.0,
02,94912,San Rafael,Po Box,San Rafael,,*
02,94913,San Rafael,Po Box,San Rafael,,*
02,94914,Kentfield,Po Box,Kentfield,,*
02,94915,San Rafael,Po Box,San Rafael,,*
